"package","dependency","type"
"hfst","gcc-14","declared"
"hfst","glibc","declared"
"hfst","icu","declared"
"hfst","openfst","declared"
"hfst","readline","declared"
"libsigsegv","glibc","declared"
"base-passwd","cdebconf","declared"
"base-passwd","glibc","declared"
"base-passwd","libselinux","declared"
"cacti-spine","cacti","declared"
"cacti-spine","dbconfig-mysql","declared"
"cacti-spine","debconf","declared"
"cacti-spine","glibc","declared"
"cacti-spine","libcap2","declared"
"cacti-spine","mariadb","declared"
"cacti-spine","net-snmp","declared"
"cacti-spine","ucf","declared"
"kcalcore","gcc-14","declared"
"kcalcore","glibc","declared"
"kcalcore","libical3","declared"
"kcalcore","qtbase-opensource-src","declared"
"kf6-knewstuff","gcc-14","declared"
"kf6-knewstuff","glibc","declared"
"kf6-knewstuff","kf6-attica","declared"
"kf6-knewstuff","kf6-karchive","declared"
"kf6-knewstuff","kf6-kcmutils","declared"
"kf6-knewstuff","kf6-kconfig","declared"
"kf6-knewstuff","kf6-kcoreaddons","declared"
"kf6-knewstuff","kf6-ki18n","declared"
"kf6-knewstuff","kf6-kirigami","declared"
"kf6-knewstuff","kf6-kpackage","declared"
"kf6-knewstuff","kf6-kwidgetsaddons","declared"
"kf6-knewstuff","kf6-syndication","declared"
"kf6-knewstuff","qt6-base","declared"
"kf6-knewstuff","qt6-declarative","declared"
"peg-solitaire","gcc-14","declared"
"peg-solitaire","glibc","declared"
"peg-solitaire","qtbase-opensource-src","declared"
"welcome2l","glibc","declared"
"welcome2l","init-system-helpers","declared"
"supercat","glibc","declared"
"abiword","at-spi2-core","declared"
"abiword","cairo","declared"
"abiword","enchant-2","declared"
"abiword","evolution-data-server","declared"
"abiword","fontconfig","declared"
"abiword","fonts-urw-base35","declared"
"abiword","fribidi","declared"
"abiword","gcc-14","declared"
"abiword","gdk-pixbuf","declared"
"abiword","gir1.2-gobject-2.0","declared"
"abiword","gir1.2-gsf-1","declared"
"abiword","gir1.2-gtk-3.0","declared"
"abiword","glib2.0","declared"
