"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"git/git","github","gh/36502","https://github.com/git/git.git","","True","cpp","1","cpp","git","28.5369","56.61","A","","","","A","73.35","","65.66"
"libuv/libuv","github","gh/14812739","https://github.com/libuv/libuv.git","","True","cpp","1","cpp","libuv","28.8821","56.97","A","","","","A","61.73","1","65.62"
"crossbeam-rs/crossbeam","github","gh/35566048","https://github.com/crossbeam-rs/crossbeam.git","","True","crates","7","crates","crossbeam-utils","43.5828","73.97","A","","","A","","56.37","1","65.58"
"nodeca/js-yaml","github","gh/2504175","https://github.com/nodeca/js-yaml.git","","True","npm","2","npm","js-yaml","50.8376","65.09","A","A","","","","56.53","1","65.51"
"reactivex/rxjs","github","gh/32247847","https://github.com/reactivex/rxjs.git","","True","npm","1","npm","rxjs","36.7223","60.80","A","A","","","","59.60","1","65.51"
"motdotla/dotenv","github","gh/11205780","https://github.com/motdotla/dotenv.git","","True","npm","1","npm","dotenv","35.4118","60.48","A","A","","","","59.87","1","65.51"
"caolan/async","github","gh/698041","https://github.com/caolan/async.git","","True","npm","1","npm","async","41.2389","62.24","A","A","","","","58.59","1","65.50"
"tootallnate/proxy-agents","github","gh/11293703","https://github.com/tootallnate/proxy-agents.git","","True","npm","10","npm","agent-base","70.9992","72.45","A","A","","","","51.86","1","65.46"
"lokathor/bytemuck","github","gh/209673558","https://github.com/lokathor/bytemuck.git","","True","crates","2","crates","bytemuck","31.798","69.59","A","","","A","","58.86","1","65.45"
"aio-libs/aiobotocore","github","gh/36618494","https://github.com/aio-libs/aiobotocore.git","","True","pypi","1","pypi","aiobotocore","51.4325","77.53","A","","A","","","54.15","1","65.39"
"colinhacks/zod","github","gh/245704608","https://github.com/colinhacks/zod.git","","True","npm","1","npm","zod","25.4276","56.75","A","A","","","","61.83","1","65.32"
"uuidjs/uuid","github","gh/1203139","https://github.com/uuidjs/uuid.git","","True","npm","1","npm","uuid","53.7533","66.15","A","A","","","","55.44","1","65.25"
"node-fetch/node-fetch","github","gh/29849956","https://github.com/node-fetch/node-fetch.git","","True","npm","1","npm","node-fetch","43.64","63.16","A","A","","","","57.61","1","65.25"
"madler/zlib","github","gh/2359378","https://github.com/madler/zlib.git","","True","cpp","1","cpp","zlib","55.1653","73.64","A","","","","A","53.92","1","65.23"
"juliangruber/brace-expansion","github","gh/13539234","https://github.com/juliangruber/brace-expansion.git","","True","npm","1","npm","brace-expansion","72.4703","73.02","A","A","","","","51.11","1","65.22"
"python-attrs/attrs","github","gh/29918975","https://github.com/python-attrs/attrs.git","","True","pypi","1","pypi","attrs","51.951","77.70","A","","A","","","53.51","1","65.07"
"yargs/yargs","github","gh/14210523","https://github.com/yargs/yargs.git","","True","npm","1","npm","yargs","49.3506","64.77","A","A","","","","56.10","1","65.07"
"brianc/node-postgres","github","gh/991475","https://github.com/brianc/node-postgres.git","","True","npm","5","npm","pg-protocol","26.1353","57.01","A","A","","","","61.16","1","65.01"
