repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
hyperium/http,84983058,ok,137,451,0.6,,2026-05-19T11:24:25+00:00
hyperium/http-body,183281612,ok,29,118,0.6,,2026-05-19T11:24:25+00:00
iarna/aproba,31432421,ok,6,47,0.5,,2026-05-19T11:24:26+00:00
import-js/eslint-plugin-import,32238354,ok,414,2147,0.8,,2026-05-19T11:24:27+00:00
indexmap-rs/indexmap,68294628,ok,63,769,0.6,,2026-05-19T11:24:28+00:00
indutny/bn.js,19176350,ok,36,428,0.6,,2026-05-19T11:24:29+00:00
indygreg/python-zstandard,67307930,ok,47,1510,7.8,,2026-05-19T11:24:29+00:00
inikulin/parse5,8862593,ok,48,1838,0.9,,2026-05-19T11:24:29+00:00
inspect-js/array-buffer-byte-length,607836784,ok,1,28,0.6,,2026-05-19T11:24:29+00:00
inspect-js/available-typed-arrays,235965505,ok,3,68,0.5,,2026-05-19T11:24:30+00:00
inspect-js/functions-have-names,198357138,ok,1,62,0.5,,2026-05-19T11:24:30+00:00
inspect-js/has-bigints,201714166,ok,2,56,0.5,,2026-05-19T11:24:30+00:00
inspect-js/has-property-descriptors,481834578,ok,1,19,0.6,,2026-05-19T11:24:30+00:00
inspect-js/has-proto,577580747,ok,1,32,0.6,,2026-05-19T11:24:31+00:00
inspect-js/has-symbols,68573418,ok,1,68,0.6,,2026-05-19T11:24:31+00:00
inspect-js/has-tostringtag,392913710,ok,1,40,0.5,,2026-05-19T11:24:31+00:00
inspect-js/hasown,703350811,ok,2,25,0.5,,2026-05-19T11:24:31+00:00
inspect-js/is-accessor-descriptor,41658954,ok,4,95,0.7,,2026-05-19T11:24:31+00:00
inspect-js/is-arguments,15725461,ok,2,161,0.7,,2026-05-19T11:24:32+00:00
inspect-js/is-array-buffer,45977026,ok,4,65,0.6,,2026-05-19T11:24:32+00:00
inspect-js/is-bigint,149682261,ok,2,67,0.5,,2026-05-19T11:24:32+00:00
inspect-js/is-boolean-object,34700259,ok,1,103,0.5,,2026-05-19T11:24:32+00:00
inspect-js/is-callable,30012910,ok,8,354,0.7,,2026-05-19T11:24:33+00:00
inspect-js/is-core-module,24578130,ok,5,118,0.7,,2026-05-19T11:30:47+00:00
inspect-js/is-data-descriptor,41659073,ok,5,77,0.7,,2026-05-19T11:24:33+00:00
inspect-js/is-data-view,751048078,ok,1,20,0.6,,2026-05-19T11:24:33+00:00
inspect-js/is-date-object,29991041,ok,1,101,0.6,,2026-05-19T11:24:33+00:00
inspect-js/is-descriptor,41658845,ok,6,82,0.5,,2026-05-19T11:24:34+00:00
inspect-js/is-number-object,29991666,ok,1,104,0.7,,2026-05-19T11:24:34+00:00
