"package","dependency","type"
"gstreamer","libxcb","runtime"
"gstreamer","libxext","runtime"
"gstreamer","libxfixes","runtime"
"gstreamer","libxi","runtime"
"gstreamer","libxtst","runtime"
"gstreamer","little-cms2","runtime"
"gstreamer","mpg123","runtime"
"gstreamer","musepack","runtime"
"gstreamer","nettle","runtime"
"gstreamer","opencore-amr","runtime"
"gstreamer","openexr","runtime"
"gstreamer","openjpeg","runtime"
"gstreamer","openssl@3","runtime"
"gstreamer","opus","runtime"
"gstreamer","orc","runtime"
"gstreamer","pango","runtime"
"gstreamer","pygobject3","runtime"
"gstreamer","python@3.14","runtime"
