"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"agent-base","tootallnate/proxy-agents","2615063835","1200023815","1631739498","2172240785","3253148233","4818166848","True","0.00120577","A","https://github.com/tootallnate/proxy-agents.git","eco","gh/11293703","","mit"
"no-case","blakeembrey/change-case","957299269","640507937","874649228","930218108","1032201769","1308919306","True","0.00119190","A","https://github.com/blakeembrey/change-case.git","eco","gh/9440238","","mit"
"@jridgewell/resolve-uri","jridgewell/resolve-uri","1546516659","8865719","813166874","1640566404","2207207661","3062776639","True","0.00118895","A","https://github.com/jridgewell/resolve-uri.git","eco","gh/196878944","","mit"
"json5","json5/json5","3569089794","2252966996","3202210178","3699237538","3763613026","4927421234","True","0.00118169","A","https://github.com/json5/json5.git","eco","gh/4463453","","mit"
"yargs-parser","yargs/yargs-parser","4424149530","2859799327","3838013637","4472975814","4813844727","6136114145","True","0.00117977","A","https://github.com/yargs/yargs-parser.git","eco","gh/50258379","","isc"
"slash","sindresorhus/slash","3195581553","1621845710","2466397510","3299104218","3800178404","4790381926","True","0.00117496","A","https://github.com/sindresorhus/slash.git","eco","gh/11516031","","mit"
"readdirp","paulmillr/readdirp","2425394044","1714010414","2071621609","2176597640","2294749587","3869990971","True","0.00116414","A","https://github.com/paulmillr/readdirp.git","eco","gh/4494405","","mit"
"lodash","lodash/lodash","2654403345","2141561232","2327423566","2491212302","2672507857","3639311768","True","0.00115975","A","https://github.com/lodash/lodash.git","eco","gh/3955647","","mit"
"braces","micromatch/braces","3294142055","2214056256","2991201042","3270111403","3454128878","4541212700","True","0.00115778","A","https://github.com/micromatch/braces.git","eco","gh/25475303","","mit"
"object-inspect","inspect-js/object-inspect","2245247736","1230126415","1795545694","2158512508","2520307456","3521746609","True","0.00115224","A","https://github.com/inspect-js/object-inspect.git","eco","gh/11683441","","mit"
"esutils","estools/esutils","1872236849","1107219690","1495622834","1761758878","2062879506","2933703340","True","0.00115057","A","https://github.com/estools/esutils.git","eco","gh/14677293","","bsd-2-clause"
"get-proto","ljharb/get-proto","2416975787","0","0","0","0","2416975787","True","0.00114947","A","https://github.com/ljharb/get-proto.git","eco","gh/911035271","","mit"
"js-yaml","nodeca/js-yaml","3636471786","1560122821","2563768575","3530699030","4383888935","6143879570","True","0.00114857","A","https://github.com/nodeca/js-yaml.git","eco","gh/2504175","","mit"
"dunder-proto","es-shims/dunder-proto","1268797599","0","0","0","49069351","2488525848","True","0.00114529","A","https://github.com/es-shims/dunder-proto.git","eco","gh/898274312","","mit"
"webidl-conversions","jsdom/webidl-conversions","3230392481","1376116609","2834059632","3345704311","3716997798","4879084055","True","0.00114431","A","https://github.com/jsdom/webidl-conversions.git","eco","gh/23000311","","bsd-2-clause"
"get-stream","sindresorhus/get-stream","4326187510","3030994795","3729202133","4076216509","4823749218","5970774899","True","0.00112679","A","https://github.com/sindresorhus/get-stream.git","eco","gh/44264225","","mit"
"find-up-simple","sindresorhus/find-up-simple","98040328","0","0","2578150","67640282","223902554","True","0.00112672","A","https://github.com/sindresorhus/find-up-simple.git","eco","gh/714044439","","mit"
"define-property","jonschlinkert/define-property","3472260169","2914959438","3959999227","3845174554","3347161381","3294006249","True","0.00112207","A","https://github.com/jonschlinkert/define-property.git","eco","gh/40633359","","mit"
"yargs","yargs/yargs","4361764207","2950835082","3796901226","4390960904","4691537869","5978585958","True","0.00112110","A","https://github.com/yargs/yargs.git","eco","gh/14210523","","mit"
"emoji-regex","mathiasbynens/emoji-regex","4915740524","2291730680","3129432200","4055869712","5614354061","9487315970","True","0.00111495","A","https://github.com/mathiasbynens/emoji-regex.git","eco","gh/24557614","","mit"
