repo_id,repo,ecosystem,value_score,risk_score
47402913,kevva/shebang-command,npm,45.2923,39
33590534,sindresorhus/is-docker,npm,42.8708,39
66025821,linusu/buffer-from,npm,41.1022,39
20576837,sindresorhus/indent-string,npm,38.2025,39
548993448,ljharb/concat-map,npm,33.0756,39
14812739,libuv/libuv,cpp,29.2979,39
372026120,jaraco/pytest-perf,pypi,26.9224,39
34648097,jorgebucaran/colorette,npm,25.1074,39
315531538,sindresorhus/yocto-queue,npm,70.654,38
39222730,sindresorhus/string-width,npm,69.0029,38
175398594,sindresorhus/type-fest,npm,67.1929,38
74266248,sindresorhus/locate-path,npm,59.6021,38
21342886,jonschlinkert/isobject,npm,57.2596,38
17559913,burntsushi/quickcheck,crates,56.8123,38
71381729,sindresorhus/mimic-function,npm,55.1793,38
225239081,ljharb/side-channel,npm,54.455,38
7634677,openssl/openssl,cpp,48.2845,38
38225016,jonschlinkert/is-extendable,npm,48.1617,38
42106515,mcollina/reusify,npm,43.2112,38
40721875,sindresorhus/ansi-escapes,npm,38.2687,38
2110585,whitequark/ipaddr.js,npm,34.0995,38
18469325,sindresorhus/open,npm,33.4263,38
25997846,feross/is-buffer,npm,30.386,38
22432442,dtolnay/semver,crates,28.8544,38
90292430,sindresorhus/import-local,npm,27.5895,38
90668463,davidhalter/parso,pypi,26.0379,38
24604008,python/typing,pypi,25.8222,38
62262074,snowflakedb/snowflake-connector-python,pypi,25.6107,38
74265632,sindresorhus/p-locate,npm,66.9066,37
185901023,open-telemetry/opentelemetry-js,npm,66.3436,37
756570458,ljharb/es-define-property,npm,63.7553,37
1580001,isaacs/inherits,npm,63.5141,37
41376759,qix-/node-is-arrayish,npm,47.2419,37
29849956,node-fetch/node-fetch,npm,43.6453,37
43528820,inspect-js/is-typed-array,npm,38.6031,37
7053637,python/mypy,pypi,34.6675,37
161875917,tokio-rs/loom,crates,33.8131,37
23512396,sindresorhus/cli-cursor,npm,32.9278,37
48783244,sindresorhus/find-cache-directory,npm,30.0453,37
36502,git/git,cpp,28.9484,37
15062869,jestjs/jest,npm,87.1271,36
27974762,rust-lang/log,crates,59.3461,36
37489525,pytest-dev/pytest,pypi,59.1543,36
367032142,tox-dev/platformdirs,pypi,45.1877,36
41367145,sindresorhus/parse-json,npm,44.3597,36
