repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
git/git,36502,444250,326558,64539,19.76,83246,6.63,772,2025,366286,23639732154,26.7610,98.05
gitlab-freedesktop-mirrors/libxcb,444023705,3269,2135,395,18.5,398,4.52,46,HEAD,0,0,0.0000,7.28
gitoxidelabs/gitoxide,136510559,233265,190350,12374,6.5,27122,3.01,783,2025,1365503,16896734122,25.1090,96.79
gitpython-developers/gitdb,1126093,6148,4329,354,8.18,635,1.95,42,2025,430,152220,6.7185,51.61
gitpython-developers/smmap,1865144,1812,1277,121,9.48,204,2.34,41,2025,183,22143,4.7252,41.40
gkz/levn,13287279,462,459,89,19.39,90,2.31,14,2022,0,0,0.0000,7.28
gkz/optionator,13435927,779,776,264,34.02,397,9.45,113,2024,10,2640,2.5236,30.28
gkz/prelude-ls,4457759,2709,2680,315,11.75,632,1.41,11,2022,0,0,0.0000,7.28
gkz/type-check,13182168,2042,2021,284,14.05,372,1.77,18,2022,0,0,0.0000,7.28
gmp-mirror/gmp,681340775,364132,285008,21496,7.54,17265,4.89,228,2025,,,,
gnome/gdk-pixbuf,4533539,45873,31967,4476,14.00,4662,4.67,94,2025,8631,38632356,14.3707,79.47
gnome/glib,4537082,837652,564700,59565,10.55,61247,3.4,3606,2025,528508,31480579020,27.3276,98.62
gnome/libxml2,4537118,212942,153515,42730,27.83,49133,12.68,1026,2025,383567,16389817910,25.8573,97.25
