"package","github_repo","repo_url"
"react-diff-viewer","praneshr/react-diff-viewer","https://github.com/praneshr/react-diff-viewer"
"string-range","dominictarr/string-range","https://github.com/dominictarr/string-range"
"dpdm","acrazing/dpdm","https://github.com/acrazing/dpdm"
"datadog-cdk-constructs-v2","DataDog/datadog-cdk-constructs","https://github.com/DataDog/datadog-cdk-constructs"
"generate-robotstxt","itgalaxy/generate-robotstxt","https://github.com/itgalaxy/generate-robotstxt"
"level-blobs","mafintosh/level-blobs","https://github.com/mafintosh/level-blobs"
"gl-vec3","stackgl/gl-vec3","https://github.com/stackgl/gl-vec3"
"level-peek","dominictarr/level-peek","https://github.com/dominictarr/level-peek"
"inferno-vnode-flags","infernojs/inferno","https://github.com/infernojs/inferno"
"qss","lukeed/qss","https://github.com/lukeed/qss"
"octal","mafintosh/octal","https://github.com/mafintosh/octal"
"until-async","kettanaito/until-async","https://github.com/kettanaito/until-async"
"resize-observer","pelotoncycle/resize-observer","https://github.com/pelotoncycle/resize-observer"
"svelte2tsx","sveltejs/language-tools","https://github.com/sveltejs/language-tools"
"primereact","primefaces/primereact","https://github.com/primefaces/primereact"
"find-packages","pnpm/pnpm","https://github.com/pnpm/pnpm/blob/main/fs"
"nodemailer-smtp-pool","andris9/nodemailer-smtp-pool","https://github.com/andris9/nodemailer-smtp-pool"
