"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"crossbeam-queue","32479300","0.00077754","9168289","12983536","22135586","39014621","79094472"
"async-lock","32393270","0.00077548","3649394","7025202","17455601","49535950","84300206"
"constant_time_eq","32357892","0.00077464","5298155","9712579","18987123","43761061","84030543"
"utf8_iter","32275781","0.00077267","0","103286","452467","10945995","149877158"
"console","32163061","0.00076997","6271305","10943935","18728066","35177142","89694860"
"aes","32155745","0.00076980","5012167","11398588","25598875","42523416","76245683"
"parking","32110105","0.00076870","5071900","8886597","17784883","38611538","90195609"
"hyper-timeout","32108819","0.00076867","1376454","7981107","17067107","40073565","94045863"
"cexpr","32021059","0.00076657","5504360","11149348","21702805","39577762","82171021"
"multimap","31956791","0.00076503","5981696","11069638","20369119","40053792","82309714"
"dirs-sys","31760913","0.00076034","7139248","14112065","25911580","35520056","76121618"
"security-framework","31648954","0.00075766","5644138","9644109","15982378","33552164","93421981"
"lru","31451071","0.00075293","3722537","7649063","17835374","45771573","82276812"
"wasm-bindgen-futures","31101872","0.00074457","6509648","10919681","18906171","39486941","79686919"
"pem","30588382","0.00073227","4212163","9430975","18178866","38866966","82252943"
"dirs","30553478","0.00073144","10402670","16028272","24416312","30907559","71012578"
"ansi_term","30413196","0.00072808","25702115","34107294","23222722","28119451","40914399"
"arc-swap","29929308","0.00071650","5070499","8087287","18458218","38224751","79805786"
"dyn-clone","29538233","0.00070713","3195900","7145021","15034506","34763831","87551907"
"pest_derive","29446897","0.00070495","4865866","9146330","17558146","38478114","77186029"
