repo,repo_id,status,n_contributors,fetched_at
inspect-js/is-callable,30012910,ok,8,2026-05-19T11:22:39+00:00
inspect-js/is-core-module,24578130,ok,4,2026-05-19T11:22:40+00:00
inspect-js/is-data-descriptor,41659073,ok,4,2026-05-19T11:22:41+00:00
inspect-js/is-data-view,751048078,ok,1,2026-05-19T11:22:42+00:00
inspect-js/is-date-object,29991041,ok,1,2026-05-19T11:22:43+00:00
inspect-js/is-descriptor,41658845,ok,5,2026-05-19T11:22:44+00:00
inspect-js/is-number-object,29991666,ok,1,2026-05-19T11:22:45+00:00
inspect-js/is-regex,15930063,ok,4,2026-05-19T11:22:46+00:00
inspect-js/is-string,30010185,ok,1,2026-05-19T11:22:47+00:00
inspect-js/is-symbol,29791606,ok,1,2026-05-19T11:22:48+00:00
inspect-js/is-typed-array,43528820,ok,2,2026-05-19T11:22:49+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,ok,1,2026-05-19T11:22:50+00:00
inspect-js/object-inspect,11683441,ok,10,2026-05-19T11:22:51+00:00
inspect-js/typed-array-buffer,649850465,ok,1,2026-05-19T11:22:52+00:00
inspect-js/which-boxed-primitive,201685155,ok,2,2026-05-19T11:22:53+00:00
inspect-js/which-typed-array,43708371,ok,2,2026-05-19T11:22:54+00:00
ipython/traitlets,14993021,ok,101,2026-05-19T11:22:55+00:00
isaacs/chownr,3858354,ok,3,2026-05-19T11:22:56+00:00
isaacs/cliui,634056857,ok,14,2026-05-19T11:22:57+00:00
isaacs/core-util-is,12391440,ok,4,2026-05-19T11:22:58+00:00
isaacs/fs-minipass,102982143,ok,10,2026-05-19T11:23:00+00:00
isaacs/fs.realpath,61231712,ok,1,2026-05-19T11:23:01+00:00
isaacs/inherits,1580001,ok,5,2026-05-19T11:23:02+00:00
isaacs/isexe,49804297,ok,1,2026-05-19T11:23:03+00:00
isaacs/minimatch,2056549,ok,30,2026-05-19T11:23:05+00:00
isaacs/minipass,84886212,ok,10,2026-05-19T11:23:13+00:00
isaacs/minizlib,86429676,ok,5,2026-05-19T11:23:07+00:00
isaacs/node-glob,357681,ok,48,2026-05-19T11:23:08+00:00
isaacs/node-graceful-fs,2077020,ok,28,2026-05-19T11:23:09+00:00
isaacs/node-lru-cache,679662,ok,49,2026-05-19T11:23:11+00:00
isaacs/node-mkdirp,2718248,ok,9,2026-05-19T11:23:13+00:00
isaacs/node-tar,1534331,ok,46,2026-05-19T11:23:14+00:00
isaacs/once,5409660,ok,6,2026-05-19T11:23:15+00:00
isaacs/package-json-from-dist,800543709,ok,1,2026-05-19T11:23:16+00:00
isaacs/path-scurry,591569499,ok,5,2026-05-19T11:23:19+00:00
isaacs/rimraf,1341324,ok,32,2026-05-19T11:23:19+00:00
isaacs/sax-js,508894,ok,37,2026-05-19T11:23:21+00:00
isaacs/wrappy,24208073,ok,7,2026-05-19T11:23:22+00:00
isaacs/yallist,48222381,ok,2,2026-05-19T11:23:24+00:00
istanbuljs/istanbuljs,81482340,ok,119,2026-05-19T11:23:26+00:00
istanbuljs/schema,211950686,ok,2,2026-05-19T11:23:27+00:00
istanbuljs/test-exclude,60489570,ok,16,2026-05-19T11:23:28+00:00
jamesmunns/postcard,179385478,ok,65,2026-05-19T11:23:29+00:00
jaraco/jaraco.develop,48289082,ok,24,2026-05-19T11:23:31+00:00
jaraco/pytest-perf,372026120,ok,14,2026-05-19T11:23:32+00:00
jaraco/zipp,157774633,ok,32,2026-05-19T11:23:34+00:00
jaredhanson/utils-merge,11349896,ok,4,2026-05-19T11:22:36+00:00
jaredwray/cacheable,9267870,ok,96,2026-05-19T11:22:37+00:00
jaredwray/keyv,96540810,ok,79,2026-05-19T11:22:38+00:00
jawah/charset_normalizer,200259335,ok,25,2026-05-19T11:22:38+00:00
jbgutierrez/path-parse,34113780,ok,5,2026-05-19T11:22:39+00:00
jd/tenacity,65468547,ok,88,2026-05-19T11:22:39+00:00
jensyt/imurmurhash-js,11802843,ok,1,2026-05-19T11:22:40+00:00
jestjs/jest,15062869,ok,424,2026-05-19T11:22:43+00:00
jimp-dev/jimp,24008065,ok,159,2026-05-19T11:22:42+00:00
jmespath/jmespath.py,8300763,ok,29,2026-05-19T11:22:43+00:00
joblib/joblib,654608,ok,130,2026-05-19T11:22:45+00:00
jonathanong/ee-first,20707897,ok,2,2026-05-19T11:22:45+00:00
jonschlinkert/assign-symbols,45661176,ok,2,2026-05-19T11:22:46+00:00
jonschlinkert/define-property,40633359,ok,3,2026-05-19T11:22:47+00:00
jonschlinkert/extend-shallow,25867410,ok,3,2026-05-19T11:22:48+00:00
jonschlinkert/fill-range,27113310,ok,6,2026-05-19T11:22:49+00:00
jonschlinkert/get-value,24911025,ok,6,2026-05-19T11:22:50+00:00
jonschlinkert/global-prefix,31455984,ok,8,2026-05-19T11:22:51+00:00
jonschlinkert/has-value,24310408,ok,3,2026-05-19T11:22:52+00:00
jonschlinkert/has-values,33009186,ok,1,2026-05-19T11:22:53+00:00
jonschlinkert/is-extendable,38225016,ok,4,2026-05-19T11:22:54+00:00
jonschlinkert/is-number,24313173,ok,3,2026-05-19T11:22:55+00:00
jonschlinkert/is-plain-object,24306940,ok,7,2026-05-19T11:22:56+00:00
jonschlinkert/isobject,21342886,ok,8,2026-05-19T11:22:57+00:00
jonschlinkert/kind-of,24491562,ok,11,2026-05-19T11:22:58+00:00
jonschlinkert/map-cache,32450614,ok,1,2026-05-19T11:22:59+00:00
jonschlinkert/normalize-path,21224182,ok,3,2026-05-19T11:23:01+00:00
jonschlinkert/object-visit,38545952,ok,2,2026-05-19T11:23:02+00:00
jonschlinkert/word-wrap,18260583,ok,13,2026-05-19T11:23:03+00:00
