repo,repo_id,has_gh_sponsors,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_link,funding_link_platforms,has_funding_json,org_fundable,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
dtolnay/anyhow,212936374,True,126,0,126,11.96,6497,207,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/automod,173074854,True,126,0,126,11.96,182,27,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/dissimilar,229514821,True,126,0,126,11.96,238,16,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/indoc,54252316,True,126,0,126,11.96,778,24,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/itoa,61962375,True,126,0,126,11.96,368,44,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/no-panic,143469762,True,126,0,126,11.96,1190,18,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/proc-macro2,91860126,True,126,0,126,11.96,917,136,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/quote,67273122,True,126,0,126,11.96,1537,112,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/ref-cast,106295902,True,126,0,126,11.96,219,20,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/rustversion,183990447,True,126,0,126,11.96,394,21,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/ryu,142720484,True,126,0,126,11.96,694,38,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/semver,22432442,True,126,0,126,11.96,663,141,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/syn,67305738,True,126,0,126,11.96,3310,371,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/target-triple,734167706,True,126,0,126,11.96,16,3,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/thiserror,213836768,True,126,0,126,11.96,5412,206,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/trybuild,184941159,True,126,0,126,11.96,965,77,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
dtolnay/unicode-ident,492639579,True,126,0,126,11.96,109,29,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,49,True,True
eemeli/yaml,119439276,True,4,0,4,37.99,1657,150,True,"github,tidelift",True,False,True,https://github.com/sponsors/eemeli,False,,5,,0,100.0,,,,,1,72,True,True
ehmicky/human-signals,214467546,False,0,0,0,100.0,286,14,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
eliben/pycparser,10589864,False,0,0,0,100.0,3537,642,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
emotion-js/emotion,92570536,False,0,1,1,43.69,18010,1133,True,open_collective,False,False,False,,False,,1,emotion,14576.64,3.13,,,,,1,24,True,True
